group,function,value,sample_time_nanos,iteration_count
Day3 - Part1,(default),,2322525,1
Day3 - Part1,(default),,4556577,2
Day3 - Part1,(default),,8560491,3
Day3 - Part1,(default),,9291049,4
Day3 - Part1,(default),,12887495,5
Day3 - Part1,(default),,15551767,6
Day3 - Part1,(default),,18071315,7
Day3 - Part1,(default),,21042580,8
Day3 - Part1,(default),,23004792,9
Day3 - Part1,(default),,25187687,10
Day3 - Part1,(default),,28916834,11
Day3 - Part1,(default),,28107697,12
Day3 - Part1,(default),,32557451,13
Day3 - Part1,(default),,32580023,14
Day3 - Part1,(default),,34621148,15
Day3 - Part1,(default),,47077085,16
Day3 - Part1,(default),,44466783,17
Day3 - Part1,(default),,41153676,18
Day3 - Part1,(default),,43491952,19
Day3 - Part1,(default),,55236553,20
Day3 - Part1,(default),,50325356,21
Day3 - Part1,(default),,52208754,22
Day3 - Part1,(default),,53255188,23
Day3 - Part1,(default),,61916930,24
Day3 - Part1,(default),,63291067,25
Day3 - Part1,(default),,60638382,26
Day3 - Part1,(default),,62538873,27
Day3 - Part1,(default),,67954271,28
Day3 - Part1,(default),,71499316,29
Day3 - Part1,(default),,72354580,30
Day3 - Part1,(default),,74124660,31
Day3 - Part1,(default),,74026241,32
Day3 - Part1,(default),,76061503,33
Day3 - Part1,(default),,79352175,34
Day3 - Part1,(default),,81173373,35
Day3 - Part1,(default),,90858884,36
Day3 - Part1,(default),,88927222,37
Day3 - Part1,(default),,89466097,38
Day3 - Part1,(default),,90803048,39
Day3 - Part1,(default),,93217213,40
Day3 - Part1,(default),,101179490,41
Day3 - Part1,(default),,105616209,42
Day3 - Part1,(default),,99534714,43
Day3 - Part1,(default),,102112326,44
Day3 - Part1,(default),,104370211,45
Day3 - Part1,(default),,108793879,46
Day3 - Part1,(default),,109306574,47
Day3 - Part1,(default),,112751343,48
Day3 - Part1,(default),,113783067,49
Day3 - Part1,(default),,115111577,50
Day3 - Part1,(default),,126463626,51
Day3 - Part1,(default),,121706580,52
Day3 - Part1,(default),,122328897,53
Day3 - Part1,(default),,123908593,54
Day3 - Part1,(default),,127619087,55
Day3 - Part1,(default),,131037078,56
Day3 - Part1,(default),,132115651,57
Day3 - Part1,(default),,134210173,58
Day3 - Part1,(default),,145670302,59
Day3 - Part1,(default),,138213201,60
Day3 - Part1,(default),,141033155,61
Day3 - Part1,(default),,152062990,62
Day3 - Part1,(default),,151293260,63
Day3 - Part1,(default),,151219033,64
Day3 - Part1,(default),,153073882,65
Day3 - Part1,(default),,159133578,66
Day3 - Part1,(default),,154430818,67
Day3 - Part1,(default),,159387905,68
Day3 - Part1,(default),,161154725,69
Day3 - Part1,(default),,161939467,70
Day3 - Part1,(default),,164428048,71
Day3 - Part1,(default),,177034721,72
Day3 - Part1,(default),,169831243,73
Day3 - Part1,(default),,173130999,74
Day3 - Part1,(default),,173646940,75
Day3 - Part1,(default),,176038095,76
Day3 - Part1,(default),,180289620,77
Day3 - Part1,(default),,183019189,78
Day3 - Part1,(default),,183067557,79
Day3 - Part1,(default),,193979710,80
Day3 - Part1,(default),,188450888,81
Day3 - Part1,(default),,192632713,82
Day3 - Part1,(default),,198877380,83
Day3 - Part1,(default),,196508864,84
Day3 - Part1,(default),,198179247,85
Day3 - Part1,(default),,199531576,86
Day3 - Part1,(default),,200445546,87
Day3 - Part1,(default),,208842161,88
Day3 - Part1,(default),,206513880,89
Day3 - Part1,(default),,209077972,90
Day3 - Part1,(default),,216366205,91
Day3 - Part1,(default),,214606140,92
Day3 - Part1,(default),,217752921,93
Day3 - Part1,(default),,219809083,94
Day3 - Part1,(default),,234150519,95
Day3 - Part1,(default),,229056365,96
Day3 - Part1,(default),,239238105,97
Day3 - Part1,(default),,227793123,98
Day3 - Part1,(default),,230685727,99
Day3 - Part1,(default),,239163263,100
